planner,instance,num_holes,num_hole_vertices,cost,sweep_distance,v_max,a_max,num_nodes,num_edges,num_cells,decomposition,edge_creation,line_sweeps,node_creation,poly_offset,polygon_adjacency,pruning,setup_solver,solve,sweep_graph,timer_setup_total,timer_solve_total
one_dir_exact,0/0070,0,0,1438.12,3,3,1,1,0,1,0.000443043,8.48e-07,0.00424134,0.000114892,1.471e-06,3.63e-07,7.568e-06,1.3671e-05,0.000190227,0.00440613,0.00486844,0.000191077
our_bcd,0/0071,0,0,1438.12,3,3,1,8,0,1,0.000661369,7.278e-06,0.0139095,0.000884376,1.459e-06,2.81e-07,0.000213836,2.12e-07,0.00337765,0.0150575,0.0157269,0.00337853
our_tcd,0/0071,0,0,1438.12,3,3,1,8,0,1,0.000481489,1.1648e-05,0.0228975,0.00145865,1.195e-06,3.03e-07,0.000322358,2.39e-07,0.00382997,0.0247476,0.025235,0.00383213
one_dir_gkma,0/0071,0,0,1438.12,3,3,1,1,0,1,0.000438414,1.393e-06,0.00381643,0.000132164,1.318e-06,2.85e-07,8.519e-06,2.89e-07,0.00611195,0.00402722,0.00447122,0.00611553
gtsp_exact,0/0071,0,0,1438.12,3,3,1,8,0,1,0.000450467,8.808e-06,0.0148027,0.000890537,1.106e-06,2.92e-07,0.000217847,1.5634e-05,0.00050205,0.0159599,0.0164371,0.000503092
one_dir_exact,0/0071,0,0,1438.12,3,3,1,1,0,1,0.000429825,8.78e-07,0.004087,0.000122979,1.149e-06,4.43e-07,8.236e-06,1.4597e-05,0.000209446,0.00426389,0.00471948,0.000219259
our_bcd,0/0072,0,0,1438.12,3,3,1,8,0,1,0.00139497,7.125e-06,0.0139753,0.000800875,1.797e-06,3.31e-07,0.000208796,1.34e-07,0.00350741,0.015029,0.0164317,0.00350827
our_tcd,0/0072,0,0,1438.12,3,3,1,8,0,1,0.0004748,9.444e-06,0.0143261,0.000919783,7.55e-07,2.3e-07,0.00026658,4.18e-07,0.0034641,0.0156413,0.0161212,0.00346531
one_dir_gkma,0/0072,0,0,1438.12,3,3,1,1,0,1,0.000434071,6.23e-07,0.00364876,0.000105922,1.135e-06,2.85e-07,7.301e-06,6.4e-08,0.00516822,0.00378505,0.00422879,0.00516889
gtsp_exact,0/0072,0,0,1438.12,3,3,1,8,0,1,0.000412171,1.0581e-05,0.0148598,0.000937307,8.05e-07,1.43e-07,0.000247153,3.2725e-05,0.000560219,0.0161501,0.0166363,0.000562331
one_dir_exact,0/0072,0,0,1438.12,3,3,1,1,0,1,0.000455903,1.677e-06,0.00382421,0.000112486,1.122e-06,3.7e-07,9.718e-06,1.1538e-05,0.000184747,0.00397218,0.00444437,0.00018543
our_bcd,0/0073,0,0,1438.12,3,3,1,8,0,1,0.000658563,7.752e-06,0.0139956,0.000847931,8.49e-07,1.67e-07,0.000214171,2.45e-07,0.00342252,0.0151058,0.0157715,0.00342343
our_tcd,0/0073,0,0,1438.12,3,3,1,8,0,1,0.00047928,9.41e-06,0.0231524,0.00145651,1.073e-06,5.02e-07,0.000309282,2.2e-07,0.00369674,0.0249786,0.0254699,0.00370493
one_dir_gkma,0/0073,0,0,1438.12,3,3,1,1,0,1,0.000441716,1.088e-06,0.00376021,0.000117934,1.293e-06,2.97e-07,7.347e-06,1.57e-07,0.00542956,0.00392327,0.00437021,0.0054307
